Dependency metrics,,,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
com.example.feelgoodinc.CalendarUtility,0,0,0,1,4,0,1
com.example.feelgoodinc.ExampleInstrumentedTest,0,0,0,0,0,0,0
com.example.feelgoodinc.ExampleUnitTest,0,0,0,0,0,0,0
com.example.feelgoodinc.HomePage,3,8,15,1,3,2,1
com.example.feelgoodinc.TutorialActivity,3,8,15,2,3,2,2
com.example.feelgoodinc.adapters.TutorialPagerAdapter,0,0,0,1,4,0,1
com.example.feelgoodinc.database.JournalDatabaseHelper,0,2,2,0,0,1,0
com.example.feelgoodinc.database.MoodDatabaseHelper,0,2,3,0,0,1,0
com.example.feelgoodinc.fragments.HomeFragment,3,5,15,1,3,1,1
com.example.feelgoodinc.fragments.MoodFragment,0,3,3,1,4,0,1
com.example.feelgoodinc.fragments.PlaceHolderResources,0,2,2,1,5,0,1
com.example.feelgoodinc.fragments.ResourcesFragment,0,4,4,1,4,1,1
com.example.feelgoodinc.fragments.TutorialFragment1,0,2,2,1,4,0,1
com.example.feelgoodinc.fragments.TutorialFragment2,0,2,2,1,4,0,1
com.example.feelgoodinc.fragments.TutorialFragment3,0,2,2,1,4,0,1
com.example.feelgoodinc.fragments.TutorialFragment4,3,4,15,1,3,1,1
com.example.feelgoodinc.fragments.UserProfileFragment,0,3,3,1,4,0,1
com.example.feelgoodinc.models.Journal,0,0,0,1,1,0,1
com.example.feelgoodinc.models.Mood,0,1,1,1,1,1,1
com.example.feelgoodinc.models.Mood.MoodType,0,0,0,1,2,0,1
com.example.feelgoodinc.models.User,0,0,0,2,2,0,1
,,,,,,,
Package,Cyclic,PDcy,PDpt,PDpt*,,,
com.example.feelgoodinc,1,2,1,2,,,
com.example.feelgoodinc.adapters,0,0,1,3,,,
com.example.feelgoodinc.database,0,1,0,1,,,
com.example.feelgoodinc.fragments,1,1,1,2,,,
com.example.feelgoodinc.models,0,0,1,2,,,
drawable,0,0,0,n/a,,,
font,0,0,0,n/a,,,
layout,0,0,0,n/a,,,
menu,0,0,0,n/a,,,
mipmap-anydpi-v26,0,0,0,n/a,,,
values,0,0,0,n/a,,,
values-night,0,0,0,n/a,,,
xml,0,0,0,n/a,,,
