Javadoc coverage metrics,,,,
Method,JLOC,,,
"com.example.feelgoodinc.CalendarUtility.addDateColour(CompactCalendarView, String, int)",6,,,
"com.example.feelgoodinc.CalendarUtility.addDateColourWithData(CompactCalendarView, String, String, int)",7,,,
com.example.feelgoodinc.ExampleInstrumentedTest.useAppContext(),0,,,
com.example.feelgoodinc.ExampleUnitTest.addition_isCorrect(),0,,,
com.example.feelgoodinc.HomePage.onCreate(Bundle),0,,,
com.example.feelgoodinc.HomePage.onNavigationItemSelected(MenuItem),0,,,
com.example.feelgoodinc.TutorialActivity.onCreate(Bundle),0,,,
"com.example.feelgoodinc.adapters.TutorialPagerAdapter.TutorialPagerAdapter(FragmentActivity, List<Fragment>)",5,,,
com.example.feelgoodinc.adapters.TutorialPagerAdapter.createFragment(int),5,,,
com.example.feelgoodinc.adapters.TutorialPagerAdapter.getItemCount(),4,,,
com.example.feelgoodinc.database.JournalDatabaseHelper.JournalDatabaseHelper(),0,,,
"com.example.feelgoodinc.database.JournalDatabaseHelper.addNewJournal(Journal, Activity)",5,,,
com.example.feelgoodinc.database.JournalDatabaseHelper.getJournalsForMonth(Date),5,,,
com.example.feelgoodinc.database.MoodDatabaseHelper.MoodDatabaseHelper(),0,,,
"com.example.feelgoodinc.database.MoodDatabaseHelper.addNewMood(Mood, Activity)",5,,,
com.example.feelgoodinc.database.MoodDatabaseHelper.getMoodsForMonth(Date),5,,,
com.example.feelgoodinc.fragments.HomeFragment.account(View),0,,,
com.example.feelgoodinc.fragments.HomeFragment.eventAdder(View),0,,,
"com.example.feelgoodinc.fragments.HomeFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
"com.example.feelgoodinc.fragments.MoodFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
com.example.feelgoodinc.fragments.PlaceHolderResources.PlaceHolderResources(),0,,,
"com.example.feelgoodinc.fragments.PlaceHolderResources.newInstance(String, String)",8,,,
com.example.feelgoodinc.fragments.PlaceHolderResources.onCreate(Bundle),0,,,
"com.example.feelgoodinc.fragments.PlaceHolderResources.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
com.example.feelgoodinc.fragments.ResourcesFragment.ResourcesFragment(),0,,,
"com.example.feelgoodinc.fragments.ResourcesFragment.newInstance(String, String)",8,,,
com.example.feelgoodinc.fragments.ResourcesFragment.onCreate(Bundle),0,,,
"com.example.feelgoodinc.fragments.ResourcesFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
"com.example.feelgoodinc.fragments.TutorialFragment1.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
"com.example.feelgoodinc.fragments.TutorialFragment2.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
"com.example.feelgoodinc.fragments.TutorialFragment3.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
"com.example.feelgoodinc.fragments.TutorialFragment4.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
com.example.feelgoodinc.fragments.UserProfileFragment.changePasswordClick(View),4,,,
"com.example.feelgoodinc.fragments.UserProfileFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,,,
com.example.feelgoodinc.fragments.UserProfileFragment.submitNewPassword(View),0,,,
"com.example.feelgoodinc.models.Journal.Journal(String, Date, Date, String)",0,,,
"com.example.feelgoodinc.models.Journal.fromMap(Map<String, Object>)",0,,,
com.example.feelgoodinc.models.Journal.getContent(),0,,,
com.example.feelgoodinc.models.Journal.getCreatedWhen(),0,,,
com.example.feelgoodinc.models.Journal.getJournalName(),0,,,
com.example.feelgoodinc.models.Journal.getLastEditedWhen(),0,,,
com.example.feelgoodinc.models.Journal.setContent(String),0,,,
com.example.feelgoodinc.models.Journal.setCreatedWhen(Date),0,,,
com.example.feelgoodinc.models.Journal.setJournalName(String),0,,,
com.example.feelgoodinc.models.Journal.setLastEditedWhen(Date),0,,,
com.example.feelgoodinc.models.Journal.toMap(),0,,,
"com.example.feelgoodinc.models.Mood.Mood(MoodType, Date)",0,,,
"com.example.feelgoodinc.models.Mood.fromMap(Map<String, Object>)",0,,,
com.example.feelgoodinc.models.Mood.getMoodType(),0,,,
com.example.feelgoodinc.models.Mood.getMoodWhen(),0,,,
com.example.feelgoodinc.models.Mood.setMoodType(MoodType),0,,,
com.example.feelgoodinc.models.Mood.setMoodWhen(Date),0,,,
com.example.feelgoodinc.models.Mood.toMap(),0,,,
com.example.feelgoodinc.models.User.getCurrentUserKey(),4,,,
com.example.feelgoodinc.models.User.getLastLoginWhen(),0,,,
com.example.feelgoodinc.models.User.getPassword(),0,,,
com.example.feelgoodinc.models.User.getUsername(),0,,,
