Lines of code metrics,,,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
"com.example.feelgoodinc.CalendarUtility.addDateColour(CompactCalendarView, String, int)",8,6,23,12,35.94%,,,,,,,,,,
"com.example.feelgoodinc.CalendarUtility.addDateColourWithData(CompactCalendarView, String, String, int)",8,7,24,12,37.50%,,,,,,,,,,
com.example.feelgoodinc.ExampleInstrumentedTest.useAppContext(),1,0,6,5,42.86%,,,,,,,,,,
com.example.feelgoodinc.ExampleUnitTest.addition_isCorrect(),0,0,4,4,36.36%,,,,,,,,,,
com.example.feelgoodinc.HomePage.onCreate(Bundle),0,0,9,9,18.37%,,,,,,,,,,
com.example.feelgoodinc.HomePage.onNavigationItemSelected(MenuItem),0,0,34,34,69.39%,,,,,,,,,,
com.example.feelgoodinc.TutorialActivity.onCreate(Bundle),3,0,20,17,90.91%,,,,,,,,,,
"com.example.feelgoodinc.adapters.TutorialPagerAdapter.TutorialPagerAdapter(FragmentActivity, List<Fragment>)",3,5,9,4,23.08%,,,,,,,,,,
com.example.feelgoodinc.adapters.TutorialPagerAdapter.createFragment(int),3,5,10,5,25.64%,,,,,,,,,,
com.example.feelgoodinc.adapters.TutorialPagerAdapter.getItemCount(),3,4,8,4,20.51%,,,,,,,,,,
com.example.feelgoodinc.database.JournalDatabaseHelper.JournalDatabaseHelper(),0,0,4,4,6.90%,,,,,,,,,,
"com.example.feelgoodinc.database.JournalDatabaseHelper.addNewJournal(Journal, Activity)",4,5,13,7,22.41%,,,,,,,,,,
com.example.feelgoodinc.database.JournalDatabaseHelper.getJournalsForMonth(Date),7,5,30,22,51.72%,,,,,,,,,,
com.example.feelgoodinc.database.MoodDatabaseHelper.MoodDatabaseHelper(),0,0,4,4,6.78%,,,,,,,,,,
"com.example.feelgoodinc.database.MoodDatabaseHelper.addNewMood(Mood, Activity)",4,5,13,7,22.03%,,,,,,,,,,
com.example.feelgoodinc.database.MoodDatabaseHelper.getMoodsForMonth(Date),8,5,30,22,50.85%,,,,,,,,,,
com.example.feelgoodinc.fragments.HomeFragment.account(View),0,0,4,4,20.00%,,,,,,,,,,
com.example.feelgoodinc.fragments.HomeFragment.eventAdder(View),1,0,5,4,25.00%,,,,,,,,,,
"com.example.feelgoodinc.fragments.HomeFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,9,8,45.00%,,,,,,,,,,
"com.example.feelgoodinc.fragments.MoodFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",2,0,31,31,86.11%,,,,,,,,,,
com.example.feelgoodinc.fragments.PlaceHolderResources.PlaceHolderResources(),1,0,3,2,6.12%,,,,,,,,,,
"com.example.feelgoodinc.fragments.PlaceHolderResources.newInstance(String, String)",6,8,17,8,34.69%,,,,,,,,,,
com.example.feelgoodinc.fragments.PlaceHolderResources.onCreate(Bundle),0,0,8,8,16.33%,,,,,,,,,,
"com.example.feelgoodinc.fragments.PlaceHolderResources.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,7,6,14.29%,,,,,,,,,,
com.example.feelgoodinc.fragments.ResourcesFragment.ResourcesFragment(),1,0,3,2,4.05%,,,,,,,,,,
"com.example.feelgoodinc.fragments.ResourcesFragment.newInstance(String, String)",6,8,17,8,22.97%,,,,,,,,,,
com.example.feelgoodinc.fragments.ResourcesFragment.onCreate(Bundle),0,0,8,8,10.81%,,,,,,,,,,
"com.example.feelgoodinc.fragments.ResourcesFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,32,31,43.24%,,,,,,,,,,
"com.example.feelgoodinc.fragments.TutorialFragment1.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%,,,,,,,,,,
"com.example.feelgoodinc.fragments.TutorialFragment2.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%,,,,,,,,,,
"com.example.feelgoodinc.fragments.TutorialFragment3.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%,,,,,,,,,,
"com.example.feelgoodinc.fragments.TutorialFragment4.onCreateView(LayoutInflater, ViewGroup, Bundle)",2,0,17,15,89.47%,,,,,,,,,,
com.example.feelgoodinc.fragments.UserProfileFragment.changePasswordClick(View),3,4,12,8,34.29%,,,,,,,,,,
"com.example.feelgoodinc.fragments.UserProfileFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",3,0,13,10,37.14%,,,,,,,,,,
com.example.feelgoodinc.fragments.UserProfileFragment.submitNewPassword(View),5,0,8,3,22.86%,,,,,,,,,,
"com.example.feelgoodinc.models.Journal.Journal(String, Date, Date, String)",1,0,7,6,11.67%,,,,,,,,,,
"com.example.feelgoodinc.models.Journal.fromMap(Map<String, Object>)",0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.getContent(),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.getCreatedWhen(),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.getJournalName(),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.getLastEditedWhen(),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.setContent(String),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.setCreatedWhen(Date),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.setJournalName(String),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.setLastEditedWhen(Date),0,0,3,3,5.00%,,,,,,,,,,
com.example.feelgoodinc.models.Journal.toMap(),0,0,8,8,13.33%,,,,,,,,,,
"com.example.feelgoodinc.models.Mood.Mood(MoodType, Date)",0,0,4,4,9.76%,,,,,,,,,,
"com.example.feelgoodinc.models.Mood.fromMap(Map<String, Object>)",0,0,3,3,7.32%,,,,,,,,,,
com.example.feelgoodinc.models.Mood.getMoodType(),0,0,3,3,7.32%,,,,,,,,,,
