Javadoc coverage metrics,Fri, 24 Nov 2023 19:10:32 GMT
Method,JLOC
com.example.feelgoodinc.CalendarServiceTests.isEventAdded(),0
com.example.feelgoodinc.CalendarServiceTests.isEventColourAdded(),0
com.example.feelgoodinc.CalendarServiceTests.isEventDataAdded(),0
com.example.feelgoodinc.ExampleInstrumentedTest.useAppContext(),0
com.example.feelgoodinc.ExampleUnitTest.addition_isCorrect(),0
com.example.feelgoodinc.HomePage.onCreate(Bundle),0
com.example.feelgoodinc.HomePage.onNavigationItemSelected(MenuItem),0
com.example.feelgoodinc.HomePage.onResume(),0
com.example.feelgoodinc.HomePage.selectFragment(int),0
com.example.feelgoodinc.LoginActivity.loginUserAccount(),6
com.example.feelgoodinc.LoginActivity.onCreate(Bundle),8
com.example.feelgoodinc.LoginActivity.onStart(),3
com.example.feelgoodinc.LoginActivity.onStop(),3
com.example.feelgoodinc.SignupActivity.onCreate(Bundle),8
com.example.feelgoodinc.SignupActivity.onStart(),3
com.example.feelgoodinc.SignupActivity.onStop(),3
com.example.feelgoodinc.SignupActivity.registerNewUser(),6
com.example.feelgoodinc.TutorialActivity.onCreate(Bundle),0
com.example.feelgoodinc.activityRecyclerView.ActivityViewHolder.ActivityViewHolder(View),0
com.example.feelgoodinc.activityRecyclerView.ClickListener.click(int),4
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.ActivityGalleryAdapter(List<Activity>, Context, ClickListener)",0
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.getItemCount(),0
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onAttachedToRecyclerView(RecyclerView),0
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onBindViewHolder(ActivityViewHolder, int)",0
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onCreateViewHolder(ViewGroup, int)",0
"com.example.feelgoodinc.adapters.TutorialPagerAdapter.TutorialPagerAdapter(FragmentActivity, List<Fragment>)",5
com.example.feelgoodinc.adapters.TutorialPagerAdapter.createFragment(int),5
com.example.feelgoodinc.adapters.TutorialPagerAdapter.getItemCount(),4
com.example.feelgoodinc.fragments.HomeFragment.account(),3
"com.example.feelgoodinc.fragments.HomeFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",20
com.example.feelgoodinc.fragments.HomeFragment.onDestroy(),3
com.example.feelgoodinc.fragments.HomeFragment.onServicesBound(),3
