Lines of code metrics,Fri, 24 Nov 2023 19:10:53 GMT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
com.example.feelgoodinc.CalendarServiceTests.isEventAdded(),1,0,12,11,30.77%
com.example.feelgoodinc.CalendarServiceTests.isEventColourAdded(),1,0,12,11,30.77%
com.example.feelgoodinc.CalendarServiceTests.isEventDataAdded(),1,0,12,11,30.77%
com.example.feelgoodinc.ExampleInstrumentedTest.useAppContext(),1,0,6,5,42.86%
com.example.feelgoodinc.ExampleUnitTest.addition_isCorrect(),0,0,4,4,36.36%
com.example.feelgoodinc.HomePage.onCreate(Bundle),0,0,9,9,13.85%
com.example.feelgoodinc.HomePage.onNavigationItemSelected(MenuItem),0,0,8,8,12.31%
com.example.feelgoodinc.HomePage.onResume(),0,0,6,6,9.23%
com.example.feelgoodinc.HomePage.selectFragment(int),0,0,35,35,53.85%
com.example.feelgoodinc.LoginActivity.loginUserAccount(),8,6,41,33,37.27%
com.example.feelgoodinc.LoginActivity.onCreate(Bundle),6,8,24,14,21.82%
com.example.feelgoodinc.LoginActivity.onStart(),4,3,10,6,9.09%
com.example.feelgoodinc.LoginActivity.onStop(),4,3,12,8,10.91%
com.example.feelgoodinc.SignupActivity.onCreate(Bundle),5,8,23,14,21.50%
com.example.feelgoodinc.SignupActivity.onStart(),3,3,9,6,8.41%
com.example.feelgoodinc.SignupActivity.onStop(),4,3,12,8,11.21%
com.example.feelgoodinc.SignupActivity.registerNewUser(),8,6,40,32,37.38%
com.example.feelgoodinc.TutorialActivity.onCreate(Bundle),3,0,20,17,90.91%
com.example.feelgoodinc.activityRecyclerView.ActivityViewHolder.ActivityViewHolder(View),0,0,8,8,53.33%
com.example.feelgoodinc.activityRecyclerView.ClickListener.click(int),3,4,6,2,75.00%
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.ActivityGalleryAdapter(List<Activity>, Context, ClickListener)",0,0,5,5,12.50%
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.getItemCount(),0,0,4,4,10.00%
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onAttachedToRecyclerView(RecyclerView),0,0,4,4,10.00%
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onBindViewHolder(ActivityViewHolder, int)",0,0,11,11,27.50%
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onCreateViewHolder(ViewGroup, int)",0,0,8,8,20.00%
"com.example.feelgoodinc.adapters.TutorialPagerAdapter.TutorialPagerAdapter(FragmentActivity, List<Fragment>)",3,5,9,4,23.08%
com.example.feelgoodinc.adapters.TutorialPagerAdapter.createFragment(int),3,5,10,5,25.64%
com.example.feelgoodinc.adapters.TutorialPagerAdapter.getItemCount(),3,4,8,4,20.51%
com.example.feelgoodinc.fragments.HomeFragment.account(),3,3,7,4,8.75%
"com.example.feelgoodinc.fragments.HomeFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",11,20,51,29,63.75%
com.example.feelgoodinc.fragments.HomeFragment.onDestroy(),3,3,8,5,10.00%
com.example.feelgoodinc.fragments.HomeFragment.onServicesBound(),3,3,8,5,10.00%
com.example.feelgoodinc.fragments.MoodFragment.convertTextToMoodType(String),0,0,16,16,11.94%
"com.example.feelgoodinc.fragments.MoodFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",2,0,51,51,38.06%
com.example.feelgoodinc.fragments.MoodFragment.onStart(),2,0,10,8,7.46%
com.example.feelgoodinc.fragments.MoodFragment.onStop(),3,0,11,8,8.21%
com.example.feelgoodinc.fragments.UserProfileFragment.changePasswordClick(View),3,4,12,8,9.68%
"com.example.feelgoodinc.fragments.UserProfileFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",5,12,24,10,19.35%
com.example.feelgoodinc.fragments.UserProfileFragment.onStart(),4,3,13,9,10.48%
com.example.feelgoodinc.fragments.UserProfileFragment.onStop(),4,3,15,11,12.10%
com.example.feelgoodinc.fragments.UserProfileFragment.submitNewPassword(View),9,6,34,24,27.42%
"com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,5,5,9.09%
"com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.onViewCreated(View, Bundle)",1,0,36,35,65.45%
com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.populateList(),0,0,10,10,18.18%
com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment.closeActivity(),0,0,7,7,13.46%
"com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",3,0,41,38,78.85%
