Martin packaging metrics,Fri, 24 Nov 2023 19:12:20 GMT
Package,A,Ca,Ce,D,I
com.example.feelgoodinc,0.00,2,31,0.06,0.94
com.example.feelgoodinc.activityRecyclerView,0.00,14,0,1.00,0.00
com.example.feelgoodinc.adapters,0.00,3,19,0.14,0.86
com.example.feelgoodinc.fragments,0.00,5,51,0.09,0.91
com.example.feelgoodinc.fragments.calmingActivities,0.00,2,13,0.13,0.87
com.example.feelgoodinc.fragments.resourcesFragments,0.00,2,0,1.00,0.00
com.example.feelgoodinc.fragments.tutorialFragments,0.00,4,1,0.80,0.20
com.example.feelgoodinc.models,0.00,118,0,1.00,0.00
com.example.feelgoodinc.services,0.36,42,77,0.01,0.74

